id,library_index,status,family,preinsert_task_rank,seated_task_rank,preinsert_compatible,seated_compatible,required_aperture_m,quality,seated_pcb_clearance_m,preinsert_pcb_clearance_m,collision_free_insertion_travel_m,remaining_to_seat_at_collision_m,limiting_gripper_component,T_P_E_00,T_P_E_01,T_P_E_02,T_P_E_03,T_P_E_10,T_P_E_11,T_P_E_12,T_P_E_13,T_P_E_20,T_P_E_21,T_P_E_22,T_P_E_23,T_P_E_30,T_P_E_31,T_P_E_32,T_P_E_33
g_782393362964236d,996,rejected_preinsert_pcb_collision,close_y_approach_-x,,,False,False,0.007620000124,0.743174441744,-0.099489998287,-0.059489998287,0.0,0.04,body,-0.262481130709,0.0,-0.964937125424,0.032098612998,0.0,1.0,0.0,0.007062596679,0.964937125424,0.0,-0.262481130709,0.005991427699,0.0,0.0,0.0,1.0
g_7ffeaaf7bc5b4a0d,997,phase1_preinsert_only_candidate,close_z_approach_+x,1216,,True,False,0.002539999962,0.74312558081,-0.032590984302,0.007409015698,0.006909015698,0.033090984302,body,0.001572278739,0.0,0.999998763969,0.011141392181,0.999998763969,0.0,-0.001572278739,0.007838618552,0.0,1.0,0.0,0.006541642666,0.0,0.0,0.0,1.0
g_3f04e09ac2f76191,998,phase1_preinsert_only_candidate,close_z_approach_+x,149,,True,False,0.002539999962,0.743036005843,-0.00871607414,0.03128392586,0.03078392586,0.00921607414,left_upper_finger,0.260337429835,0.0,0.965517696693,0.008305357906,0.965517696693,0.0,-0.260337429835,0.007403491346,0.0,1.0,0.0,0.006541642666,0.0,0.0,0.0,1.0
g_466dab20489e7348,999,phase1_preinsert_only_candidate,close_z_approach_-x,1379,,True,False,0.002539999962,0.743033624403,-0.034084742655,0.005915257345,0.005415257345,0.034584742655,body,-0.001572278739,0.0,-0.999998763969,0.013848946307,-0.999998763969,0.0,0.001572278739,0.00703451909,0.0,1.0,0.0,0.006541642666,0.0,0.0,0.0,1.0
g_e0982fafe0c4b66e,1000,phase1_preinsert_only_candidate,close_z_approach_-x,1187,,True,False,0.002539999962,0.742958493457,-0.032208015118,0.007791984882,0.007291984882,0.032708015118,body,-0.001572278739,0.0,-0.999998763969,0.027306847284,-0.999998763969,0.0,0.001572278739,0.008911246627,0.0,1.0,0.0,0.006541642666,0.0,0.0,0.0,1.0
g_7c21484b8f307f57,1001,rejected_preinsert_pcb_collision,close_y_approach_-x,,,False,False,0.007620000124,0.742953171234,-0.099489998287,-0.059489998287,0.0,0.04,body,-0.003793197679,0.0,-0.9999928058,0.03009108442,0.0,1.0,0.0,0.007062596679,0.9999928058,0.0,-0.003793197679,0.006342682742,0.0,0.0,0.0,1.0
g_4950087c7f3a93b0,1002,rejected_preinsert_pcb_collision,close_y_approach_-x,,,False,False,0.007620000124,0.742854366296,-0.099489998287,-0.059489998287,0.0,0.04,body,0.496711397348,0.0,-0.867915772264,0.030837589543,0.0,1.0,0.0,0.007062596679,0.867915772264,0.0,0.496711397348,0.005708356608,0.0,0.0,0.0,1.0
g_7614aa0bffca5d98,1003,rejected_preinsert_pcb_collision,close_y_approach_-x,,,False,False,0.007620000124,0.742805944749,-0.099489998287,-0.059489998287,0.0,0.04,body,0.255153235504,0.0,-0.966900629026,0.03009108442,0.0,1.0,0.0,0.007062596679,0.966900629026,0.0,0.255153235504,0.006342682742,0.0,0.0,0.0,1.0
g_7fa00c3a3d4b9178,1004,rejected_preinsert_pcb_collision,close_y_approach_-x,,,False,False,0.007620000124,0.742650500802,-0.099489998287,-0.059489998287,0.0,0.04,body,-0.262481130709,0.0,-0.964937125424,0.031098502711,0.0,1.0,0.0,0.007062596679,0.964937125424,0.0,-0.262481130709,0.006421044402,0.0,0.0,0.0,1.0
g_cdaf5bbe6978b880,1005,phase1_preinsert_only_candidate,close_z_approach_+x,1330,,True,False,0.002539999962,0.742531856046,-0.033668321725,0.006331678275,0.005831678275,0.034168321725,body,0.001572278739,0.0,0.999998763969,0.010481006861,0.999998763969,0.0,-0.001572278739,0.006761281129,0.0,1.0,0.0,0.006541642666,0.0,0.0,0.0,1.0
g_0be2c8e95de5b91d,1006,phase1_preinsert_only_candidate,close_z_approach_-x,156,,True,False,0.002539999962,0.742477859416,-0.008827652751,0.031172347249,0.030672347249,0.009327652751,right_lower_finger,0.257300020554,0.0,-0.966331568057,0.024534138408,-0.966331568057,0.0,-0.257300020554,0.007182255585,0.0,1.0,0.0,0.006541642666,0.0,0.0,0.0,1.0
